timestamp,gasLevel,temperature,humidity,heartRate,lat,lng,status
2026-03-07T21:19:27.543299,3.83,28.68,74.6,64,34.02561,-118.17506,Warning
2026-03-07T21:19:33.372806,0.68,25.25,75.48,86,34.03346,-118.167813,Safe
2026-03-07T21:19:38.585326,0.59,22.21,70.31,87,34.020461,-118.152568,Safe
2026-03-07T21:19:43.803174,2.36,25.14,44.38,86,34.00123,-118.193148,Safe
2026-03-07T21:19:49.012218,1.52,23.72,75.26,67,34.037728,-118.177553,Safe
2026-03-07T21:19:54.267177,1.5,27.67,78.62,77,34.003156,-118.187145,Safe
2026-03-07T21:19:59.491578,10.17,38.65,79.77,114,34.025122,-118.175031,Danger
2026-03-07T21:20:05.055786,0.28,28.98,43.64,89,34.042001,-118.186376,Safe
2026-03-07T21:20:10.324191,10.61,36.57,41.29,118,34.043364,-118.17672,Danger
2026-03-07T21:20:16.074703,1.91,21.53,37.67,63,34.04489,-118.167221,Safe
2026-03-07T21:20:21.614197,1.81,24.63,65.56,60,34.042895,-118.154999,Warning
2026-03-07T21:20:30.843391,1.24,27.45,37.64,76,34.022378,-118.155312,Safe
2026-03-07T21:20:37.468300,1.67,23.83,66.18,77,34.000134,-118.16848,Safe
2026-03-07T21:20:43.962761,2.91,22.47,39.25,73,34.032365,-118.195041,Safe
2026-03-07T21:20:49.193021,0.65,25.87,48.33,69,34.040895,-118.165967,Safe
2026-03-07T21:20:54.456212,2.66,25.35,30.08,67,34.000014,-118.185199,Safe
2026-03-07T21:20:59.738252,3.0,26.48,40.46,74,34.008917,-118.160226,Safe
2026-03-07T21:21:05.024042,3.57,22.17,69.2,74,34.049479,-118.197528,Safe
2026-03-07T21:21:10.297668,2.01,22.31,52.07,65,34.019248,-118.170609,Safe
2026-03-07T21:21:15.509631,2.34,26.52,58.6,75,34.044017,-118.162396,Safe
2026-03-07T21:21:20.790468,2.98,23.52,63.31,68,34.014422,-118.171248,Safe
